sideline_player_id,espn_athlete_id,player_name,position,class_year,jersey,school_id,school,school_slug,conference,nil_value_usd,nil_source,recruit_stars,sideline_overall_rank
4898222,4898222,Louis Lesmond,G,Senior,77,2230,Fordham,fordham,Atlantic 10,338000,modeled,,
4897456,4897456,Preston Phillips,F,Senior,24,2492,Pepperdine,pepperdine,West Coast,338000,modeled,,
5191013,5191013,Rayzhon Bergersen,G,Junior,11,68,Boise State,boise-state,Pac-12,337000,modeled,,
5313366,5313366,Javier Gilgeous-Glasgow,G,Senior,7,2653,Troy,troy,Sun Belt,337000,modeled,,
5105787,5105787,LA Pratt,G,Senior,3,111,Northeastern,northeastern,CAA,337000,modeled,,
5189001,5189001,Chaze Harris,G,Senior,2,6,South Alabama,south-alabama,Sun Belt,336000,modeled,,
5107453,5107453,Jayland Randall,G,Senior,8,166,New Mexico State,new-mexico-state,Conference USA,335750,modeled,,
5241667,5241667,Jamichael Stillwell,F,Senior,4,2116,UCF,ucf,Big 12,335000,modeled,,
5312355,5312355,Jalen Tot,G,Senior,9,2026,Appalachian State,appalachian-state,Sun Belt,335000,modeled,,
5174614,5174614,Jayden Ndjigue,G,Junior,11,113,Massachusetts,massachusetts,MAC,334000,modeled,,
5239598,5239598,Braylen Nash,G,Sophomore,55,194,Ohio State,ohio-state,Big Ten,333000,modeled,,
5217193,5217193,Isaiah Denis,G,Freshman,5,153,North Carolina,north-carolina,ACC,333000,modeled,,
5176497,5176497,Tyler Harris,F,Junior,8,238,Vanderbilt,vanderbilt,SEC,333000,modeled,,
5101689,5101689,Lathan Sommerville,C,Sophomore,24,264,Washington,washington,Big Ten,333000,modeled,,
5174611,5174611,Jaylen Curry,G,Junior,0,197,Oklahoma State,oklahoma-state,Big 12,333000,modeled,,
5041942,5041942,Isiah Harwell,G,Freshman,1,248,Houston,houston,Big 12,333000,modeled,,
5105605,5105605,Mohamed Keita,C,Senior,4,218,Temple,temple,American,333000,modeled,,
4703009,4703009,Ryan Myers,G,Senior,4,98,Western Kentucky,western-kentucky,Conference USA,333000,modeled,,
5109782,5109782,Matt Hayman,G,Senior,1,2032,Arkansas State,arkansas-state,Sun Belt,332000,modeled,,
5105641,5105641,Vince Iwuchukwu,C,Senior,3,46,Georgetown,georgetown,Big East,331000,modeled,,
5175042,5175042,RJ Jones,G,Sophomore,8,2628,TCU,tcu,Big 12,330000,modeled,,
5237433,5237433,Jayden Forsythe,G,Freshman,4,277,West Virginia,west-virginia,Big 12,330000,modeled,,
5176770,5176770,Jaden Harris,G,Senior,21,338,Kennesaw State,kennesaw-state,Conference USA,330000,modeled,4.0,
5312162,5312162,Trey Boyd III,G,Junior,3,2275,Hofstra,hofstra,CAA,330000,modeled,3.0,
5312979,5312979,Christian Jones,G,Sophomore,24,299,Long Beach State,long-beach-state,Big West,330000,modeled,4.0,
5241614,5241614,Nate Johnson,G,Sophomore,10,2174,Detroit Mercy,detroit-mercy,Horizon,330000,modeled,4.0,
5082287,5082287,Bryce James,G,Freshman,6,12,Arizona,arizona,Big 12,329000,modeled,,
5108770,5108770,Jevin Muniz,G,Senior,55,36,Colorado State,colorado-state,Pac-12,329000,modeled,,
5242924,5242924,Major Freeman,G,Senior,5,2429,Charlotte,charlotte,American,329000,modeled,,
5241593,5241593,Simon Hildebrandt,F,Senior,3,265,Washington State,washington-state,Pac-12,328000,modeled,,
5105577,5105577,Jasen Green,F,Junior,0,156,Creighton,creighton,Big East,327000,modeled,,
5105449,5105449,RJ Godfrey,F,Senior,0,228,Clemson,clemson,ACC,326000,modeled,,
5239840,5239840,Mantas Kocanas,C,Sophomore,17,25,California,california,ACC,326000,modeled,,
5101676,5101676,Royce Parham,F,Sophomore,13,269,Marquette,marquette,Big East,326000,modeled,,
4700530,4700530,Davion Bradford,C,Senior,55,2655,Tulane,tulane,American,325000,modeled,,
4905284,4905284,LJ Brown,G,Senior,8,2636,UTSA,utsa,American,324000,modeled,,
5054085,5054085,Anthony Robinson II,G,Junior,0,142,Missouri,missouri,SEC,323000,modeled,,
5311500,5311500,Elmir Džafic,C,Freshman,15,8,Arkansas,arkansas,SEC,323000,modeled,,
4870565,4870565,Elijah Saunders,F,Senior,13,120,Maryland,maryland,Big Ten,322000,modeled,,
5313094,5313094,Chance Lundy,G,Senior,4,256,James Madison,james-madison,Sun Belt,322000,modeled,,
5105639,5105639,Evan Manjikian,F,Junior,21,26,UCLA,ucla,Big Ten,321000,modeled,,
5152658,5152658,Pape N'Diaye,F,Sophomore,22,2752,Xavier,xavier,Big East,320000,modeled,,
5329888,5329888,Kirill Elatontsev,C,Senior,15,201,Oklahoma,oklahoma,SEC,319000,modeled,,
5239617,5239617,Izaiah Pasha,G,Sophomore,4,259,Virginia Tech,virginia-tech,ACC,319000,modeled,,
5243364,5243364,Nick Anderson,G,Senior,23,242,Rice,rice,American,319000,modeled,,
5175355,5175355,Ethan McComb,G,Junior,3,2086,Butler,butler,Big East,315000,modeled,,
5314172,5314172,Jaden Johnson,PG,Junior,2,2379,Maryland Eastern Shore,maryland-eastern-shore,MEAC,314000,modeled,,
5221321,5221321,Jaylen Petty,G,Freshman,11,2641,Texas Tech,texas-tech,Big 12,312000,modeled,,
4897715,4897715,Khamari McGriff,F,Senior,21,2306,Kansas State,kansas-state,Big 12,312000,modeled,,
5060712,5060712,Terrence Hill Jr.,G,Sophomore,6,2670,VCU,vcu,Atlantic 10,312000,modeled,,
5107797,5107797,Paul Otieno,F,Senior,25,139,Saint Louis,saint-louis,Atlantic 10,310000,modeled,,
5101805,5101805,Davion Hannah,G,Freshman,4,333,Alabama,alabama,SEC,309000,modeled,,
5175888,5175888,Arop Arop,F,Junior,4,235,Memphis,memphis,American,309000,modeled,,
5239551,5239551,Jacob Koch,G,Sophomore,10,2294,Iowa,iowa,Big Ten,308000,modeled,,
5142356,5142356,Baye Ndongo,F,Junior,11,59,Georgia Tech,georgia-tech,ACC,307000,modeled,,
5313560,5313560,Wes Enis,G,Junior,2,58,South Florida,south-florida,American,307000,modeled,,
5176241,5176241,BJ Davis,G,Junior,10,21,San Diego State,san-diego-state,Pac-12,307000,modeled,,
5174661,5174661,Blue Cain,G,Junior,0,61,Georgia,georgia,SEC,304000,modeled,,
5060685,5060685,Keanu Dawes,F,Junior,8,254,Utah,utah,Big 12,304000,modeled,,
5174652,5174652,Blake Muschalek,G,Junior,21,2,Auburn,auburn,SEC,303000,modeled,,
5170078,5170078,Saša Ciani,F,Junior,22,213,Penn State,penn-state,Big Ten,303000,modeled,,
5174559,5174559,Ibrahim Souare,F,Sophomore,10,183,Syracuse,syracuse,ACC,303000,modeled,,
4873100,4873100,Travis Perry,G,Sophomore,11,145,Ole Miss,ole-miss,SEC,302000,modeled,,
5144097,5144097,Derek Dixon,G,Freshman,3,153,North Carolina,north-carolina,ACC,302000,modeled,,
5239596,5239596,Ben Woodward,G,Junior,12,2244,George Mason,george-mason,Atlantic 10,302000,modeled,,
5177260,5177260,Eric Acker,G,Junior,3,2325,La Salle,la-salle,Atlantic 10,301000,modeled,,
5106731,5106731,Nolan Hodge,G,Senior,4,350,UNC Wilmington,unc-wilmington,CAA,301000,modeled,,
5314331,5314331,Tyler King,G,Junior,9,2565,SIUE,siue,Ohio Valley,300000,modeled,4.0,
5112189,5112189,Nordin Kapic,F,Senior,24,2579,South Carolina,south-carolina,SEC,299000,modeled,,
5174807,5174807,Jack Janicki,G,Sophomore,5,275,Wisconsin,wisconsin,Big Ten,299000,modeled,,
5144371,5144371,Ty Bevins,G,Sophomore,5,45,George Washington,george-washington,Atlantic 10,299000,modeled,,
4683779,4683779,Mackenzie Mgbako,F,Junior,21,245,Texas A&M,texas-am,SEC,298000,modeled,,
5254917,5254917,Brit Burden,F,Sophomore,22,30,USC,usc,Big Ten,297000,modeled,,
5174781,5174781,James Goodis,G,Junior,13,239,Baylor,baylor,Big 12,297000,modeled,,
4848637,4848637,Milan Momcilovic,F,Junior,22,66,Iowa State,iowa-state,Big 12,297000,modeled,,
5313031,5313031,Dillan Shaw,G,Freshman,11,2608,Saint Mary's,saint-marys,West Coast,297000,modeled,,
5238201,5238201,Viktor Mikic,C,Sophomore,12,57,Florida,florida,SEC,296000,modeled,,
5238166,5238166,Alier Maluk,F,Sophomore,12,52,Florida State,florida-state,ACC,296000,modeled,,
5143921,5143921,Anthony Robinson,F,Sophomore,21,2752,Xavier,xavier,Big East,296000,modeled,,
5240353,5240353,Jimmie Williams,G,Junior,3,2184,Duquesne,duquesne,Atlantic 10,296000,modeled,,
4869779,4869779,Jamari Phillips,G,Sophomore,24,2483,Oregon,oregon,Big Ten,295000,modeled,,
5311844,5311844,Johann Grunloh,C,Freshman,17,258,Virginia,virginia,ACC,295000,modeled,,
5240520,5240520,Théo Pierre-Justin,F,Sophomore,21,305,DePaul,depaul,Big East,295000,modeled,,
5314450,5314450,Luke Brown,F,Freshman,16,44,American University,american-university,Patriot,294500,modeled,4.0,
5214643,5214643,Felix Kossaras,G,Sophomore,15,38,Colorado,colorado,Big 12,294000,modeled,,
5107209,5107209,Jaden Clayton,G,Senior,6,279,Pacific,pacific,West Coast,294000,modeled,,
5173645,5173645,Jason Jakstys,F,Freshman,31,356,Illinois,illinois,Big Ten,291000,modeled,,
4702226,4702226,Toneari Lane,G,Senior,1,301,San Diego,san-diego,West Coast,291000,modeled,,
5107969,5107969,Kyler Vanderjagt,G,Senior,4,2649,Toledo,toledo,MAC,290000,modeled,,
4816087,4816087,Kyle Cuffe Jr.,G,Senior,5,2382,Mercer,mercer,SoCon,290000,modeled,,
5061596,5061596,Robert Miller III,F,Sophomore,6,99,LSU,lsu,SEC,289000,modeled,,
5238156,5238156,Will Eggemeier,G,Sophomore,21,103,Boston College,boston-college,ACC,289000,modeled,,
